"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Denver Broncos",DEN,"3 out of 5 stars","1 out of 5 stars","117.3","0"
"2","Philadelphia Eagles",PHI,"1 out of 5 stars","2 out of 5 stars","115.6","0"
"3","Minnesota Vikings",MIN,"1 out of 5 stars","4 out of 5 stars","115.6","+2"
"4","Pittsburgh Steelers",PIT,"3 out of 5 stars","4 out of 5 stars","115.6","0"
"5","Baltimore Ravens",BAL,"4 out of 5 stars","3 out of 5 stars","113.9","-2"
"6","Houston Texans",HOU,"3 out of 5 stars","3 out of 5 stars","112.2","0"
"7","Buffalo Bills",BUF,"5 out of 5 stars","5 out of 5 stars","110.5","0"
"8","Detroit Lions",DET,"2 out of 5 stars","3 out of 5 stars","108.8","+2"
"9","Los Angeles Rams",LAR,"3 out of 5 stars","2 out of 5 stars","107.1","+15"
"10","Seattle Seahawks",SEA,"3 out of 5 stars","3 out of 5 stars","105.4","+3"
"11","New England Patriots",NE,"3 out of 5 stars","0 out of 5 stars","105.4","+10"
"12","Kansas City Chiefs",KC,"2 out of 5 stars","3 out of 5 stars","103.7","-3"
"13","Green Bay Packers",GB,"3 out of 5 stars","2 out of 5 stars","103.7","-2"
"14","New York Jets",NYJ,"5 out of 5 stars","5 out of 5 stars","103.7","+4"
"15","Arizona Cardinals",ARI,"4 out of 5 stars","3 out of 5 stars","103.7","0"
"16","Chicago Bears",CHI,"2 out of 5 stars","3 out of 5 stars","103.7","0"
"17","Washington Commanders",WAS,"3 out of 5 stars","4 out of 5 stars","102.0","+2"
"18","San Francisco 49ers",SF,"5 out of 5 stars","5 out of 5 stars","102.0","-10"
"19","Los Angeles Chargers",LAC,"5 out of 5 stars","3 out of 5 stars","100.3","+1"
"20","New York Giants",NYG,"1 out of 5 stars","4 out of 5 stars","100.3","-6"
"21","Tampa Bay Buccaneers",TB,"3 out of 5 stars","4 out of 5 stars","100.3","-9"
"22","Dallas Cowboys",DAL,"1 out of 5 stars","1 out of 5 stars","98.6","-5"
"23","Miami Dolphins",MIA,"1 out of 5 stars","3 out of 5 stars","98.6","+2"
"24","Cleveland Browns",CLE,"2 out of 5 stars","2 out of 5 stars","96.9","-1"
"25","Indianapolis Colts",IND,"4 out of 5 stars","4 out of 5 stars","96.9","+1"
"26","Atlanta Falcons",ATL,"3 out of 5 stars","1 out of 5 stars","95.2","+2"
"27","Jacksonville Jaguars",JAC,"3 out of 5 stars","2 out of 5 stars","95.2","+4"
"28","Cincinnati Bengals",CIN,"1 out of 5 stars","2 out of 5 stars","95.2","-6"
"29","New Orleans Saints",NO,"5 out of 5 stars","5 out of 5 stars","91.8","+1"
"30","Las Vegas Raiders",LV,"3 out of 5 stars","4 out of 5 stars","91.8","-3"
"31","Tennessee Titans",TEN,"5 out of 5 stars","2 out of 5 stars","86.7","-2"
"32","Carolina Panthers",CAR,"3 out of 5 stars","4 out of 5 stars","85.0","0"
