"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Brandon Aubrey",DAL,"5 out of 5 stars","3 out of 5 stars","139.4","0"
"2","Cameron Dicker",LAC,"5 out of 5 stars","2 out of 5 stars","137.7","0"
"3","Jake Bates",DET,"2 out of 5 stars","4 out of 5 stars","136.0","0"
"4","Wil Lutz",DEN,"4 out of 5 stars","1 out of 5 stars","134.3","+11"
"5","Ka'imi Fairbairn",HOU,"3 out of 5 stars","4 out of 5 stars","132.6","0"
"6","Chase McLaughlin",TB,"3 out of 5 stars","5 out of 5 stars","130.9","-2"
"7","Chris Boswell",PIT,"1 out of 5 stars","2 out of 5 stars","129.2","0"
"8","Tyler Loop",BAL,"3 out of 5 stars","2 out of 5 stars","129.2","+3"
"9","Harrison Butker",KC,"4 out of 5 stars","4 out of 5 stars","129.2","-1"
"10","Evan McPherson",CIN,"1 out of 5 stars","4 out of 5 stars","127.5","+3"
"11","Jake Elliott",PHI,"3 out of 5 stars","3 out of 5 stars","127.5","-2"
"12","Matt Gay",WAS,"2 out of 5 stars","2 out of 5 stars","125.8","+2"
"13","Tyler Bass",BUF,"3 out of 5 stars","0 out of 5 stars","125.8","-7"
"14","Brandon McManus",GB,"3 out of 5 stars","3 out of 5 stars","125.8","+5"
"15","Cam Little",JAC,"5 out of 5 stars","5 out of 5 stars","125.8","-5"
"16","Younghoe Koo",ATL,"4 out of 5 stars","4 out of 5 stars","125.8","-4"
"17","Will Reichard",MIN,"0 out of 5 stars","3 out of 5 stars","124.1","+3"
"18","Daniel Carlson",LV,"3 out of 5 stars","4 out of 5 stars","122.4","-1"
"19","Joshua Karty",LAR,"1 out of 5 stars","2 out of 5 stars","120.7","+2"
"20","Jason Sanders",MIA,"1 out of 5 stars","3 out of 5 stars","120.7","-4"
"21","Jason Myers",SEA,"5 out of 5 stars","5 out of 5 stars","119.0","+7"
"22","Chad Ryland",ARI,"4 out of 5 stars","5 out of 5 stars","119.0","+1"
"23","Cairo Santos",CHI,"1 out of 5 stars","0 out of 5 stars","117.3","-1"
"24","Graham Gano",NYG,"0 out of 5 stars","5 out of 5 stars","117.3","+1"
"25","Blake Grupe",NO,"5 out of 5 stars","5 out of 5 stars","112.2","+2"
"26","Joey Slye",TEN,"3 out of 5 stars","0 out of 5 stars","110.5","+4"
"27","Spencer Shrader",IND,"4 out of 5 stars","1 out of 5 stars","108.8","+2"
"28","Nick Folk",NYJ,"2 out of 5 stars","1 out of 5 stars","108.8","+6"
"29","Jake Moody",FA,"-","-","107.1","-11"
"30","Andy Borregales",NE,"4 out of 5 stars","2 out of 5 stars","105.4","-4"
"31","Matthew Wright",FA,"-","-","102.0","+6"
"32","Eddy Pineiro",SF,"5 out of 5 stars","5 out of 5 stars","95.2","+17"
"33","Ryan Fitzgerald",CAR,"2 out of 5 stars","1 out of 5 stars","30.6","0"
"34","Matt Prater",BUF,"3 out of 5 stars","0 out of 5 stars","0.0","+19"
"35","Andre Szmyt",CLE,"1 out of 5 stars","1 out of 5 stars","0.0","-3"
"36","Justin Tucker",FA,"-","-","0.0","-12"
"37","Dustin Hopkins",FA,"-","-","0.0","-6"
"38","Caden Davis",FA,"-","-","0.0","-3"
