"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Lamar Jackson",BAL,"3 out of 5 stars","4 out of 5 stars","379.1","+1"
"2","Josh Allen",BUF,"4 out of 5 stars","3 out of 5 stars","377.4","-1"
"3","Jayden Daniels",WAS,"2 out of 5 stars","3 out of 5 stars","363.8","0"
"4","Jalen Hurts",PHI,"3 out of 5 stars","4 out of 5 stars","363.8","0"
"5","Joe Burrow",CIN,"2 out of 5 stars","3 out of 5 stars","345.1","0"
"6","Patrick Mahomes II",KC,"3 out of 5 stars","2 out of 5 stars","323.0","0"
"7","Baker Mayfield",TB,"2 out of 5 stars","5 out of 5 stars","321.3","0"
"8","Justin Fields",NYJ,"5 out of 5 stars","4 out of 5 stars","314.5","+5"
"9","Justin Herbert",LAC,"3 out of 5 stars","2 out of 5 stars","311.1","+5"
"10","Bo Nix",DEN,"3 out of 5 stars","3 out of 5 stars","307.7","-2"
"11","Dak Prescott",DAL,"3 out of 5 stars","3 out of 5 stars","306.0","0"
"12","Kyler Murray",ARI,"4 out of 5 stars","4 out of 5 stars","299.2","-3"
"13","Brock Purdy",SF,"4 out of 5 stars","3 out of 5 stars","292.4","-3"
"14","Drake Maye",NE,"5 out of 5 stars","3 out of 5 stars","283.9","+2"
"15","Jordan Love",GB,"3 out of 5 stars","1 out of 5 stars","282.2","+2"
"16","J.J. McCarthy",MIN,"3 out of 5 stars","4 out of 5 stars","280.5","+3"
"17","Jared Goff",DET,"2 out of 5 stars","2 out of 5 stars","280.5","-5"
"18","Caleb Williams",CHI,"2 out of 5 stars","2 out of 5 stars","273.7","-3"
"19","C.J. Stroud",HOU,"3 out of 5 stars","3 out of 5 stars","272.0","-1"
"20","Trevor Lawrence",JAC,"2 out of 5 stars","3 out of 5 stars","270.3","0"
"21","Geno Smith",LV,"3 out of 5 stars","2 out of 5 stars","268.6","+5"
"22","Michael Penix Jr.",ATL,"4 out of 5 stars","3 out of 5 stars","266.9","+2"
"23","Matthew Stafford",LAR,"3 out of 5 stars","3 out of 5 stars","263.5","0"
"24","Bryce Young",CAR,"3 out of 5 stars","2 out of 5 stars","261.8","+1"
"25","Tua Tagovailoa",MIA,"5 out of 5 stars","4 out of 5 stars","256.7","-4"
"26","Cam Ward",TEN,"3 out of 5 stars","1 out of 5 stars","253.3","-4"
"27","Sam Darnold",SEA,"4 out of 5 stars","4 out of 5 stars","253.3","0"
"28","Aaron Rodgers",PIT,"3 out of 5 stars","4 out of 5 stars","241.4","0"
"29","Daniel Jones",IND,"3 out of 5 stars","3 out of 5 stars","239.7","+2"
"30","Jaxson Dart",NYG,"1 out of 5 stars","3 out of 5 stars","181.9","+2"
"31","Joe Flacco",CLE,"2 out of 5 stars","2 out of 5 stars","176.8","+3"
"32","Russell Wilson",NYG,"1 out of 5 stars","3 out of 5 stars","129.2","-3"
"33","Anthony Richardson Sr.",IND,"3 out of 5 stars","3 out of 5 stars","68.0","-3"
"34","Spencer Rattler",NO,"5 out of 5 stars","5 out of 5 stars","57.8","+4"
"35","Tyler Shough",NO,"5 out of 5 stars","5 out of 5 stars","57.8","+1"
"36","Shedeur Sanders",CLE,"2 out of 5 stars","2 out of 5 stars","54.4","-3"
