"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Bijan Robinson",ATL,"4 out of 5 stars","2 out of 5 stars","324.7","0"
"2","Jahmyr Gibbs",DET,"3 out of 5 stars","2 out of 5 stars","317.9","+1"
"3","Saquon Barkley",PHI,"3 out of 5 stars","4 out of 5 stars","316.2","-1"
"4","Ashton Jeanty",LV,"2 out of 5 stars","2 out of 5 stars","290.7","+2"
"5","Christian McCaffrey",SF,"3 out of 5 stars","3 out of 5 stars","289.0","-1"
"6","Derrick Henry",BAL,"3 out of 5 stars","4 out of 5 stars","278.8","-1"
"7","De'Von Achane",MIA,"4 out of 5 stars","4 out of 5 stars","283.9","0"
"8","Chase Brown",CIN,"3 out of 5 stars","3 out of 5 stars","277.1","+2"
"9","Bucky Irving",TB,"4 out of 5 stars","4 out of 5 stars","272.0","+2"
"10","Josh Jacobs",GB,"4 out of 5 stars","3 out of 5 stars","265.2","-2"
"11","Jonathan Taylor",IND,"2 out of 5 stars","3 out of 5 stars","263.5","-2"
"12","Kyren Williams",LAR,"3 out of 5 stars","2 out of 5 stars","256.7","0"
"13","James Cook",BUF,"4 out of 5 stars","3 out of 5 stars","251.6","0"
"14","Alvin Kamara",NO,"4 out of 5 stars","3 out of 5 stars","244.8","+1"
"15","Omarion Hampton",LAC,"3 out of 5 stars","2 out of 5 stars","234.6","-1"
"16","Breece Hall",NYJ,"5 out of 5 stars","5 out of 5 stars","231.2","0"
"17","TreVeyon Henderson",NE,"4 out of 5 stars","3 out of 5 stars","229.5","+1"
"18","Kenneth Walker III",SEA,"3 out of 5 stars","3 out of 5 stars","224.4","-1"
"19","Travis Etienne Jr.",JAC,"2 out of 5 stars","2 out of 5 stars","210.8","+11"
"20","Chuba Hubbard",CAR,"3 out of 5 stars","3 out of 5 stars","222.7","0"
"21","James Conner",ARI,"3 out of 5 stars","3 out of 5 stars","221.0","-2"
"22","RJ Harvey",DEN,"2 out of 5 stars","2 out of 5 stars","217.6","0"
"23","Tony Pollard",TEN,"3 out of 5 stars","4 out of 5 stars","210.8","+3"
"24","D'Andre Swift",CHI,"4 out of 5 stars","3 out of 5 stars","205.7","-3"
"25","Aaron Jones Sr.",MIN,"3 out of 5 stars","4 out of 5 stars","190.4","0"
"26","Isiah Pacheco",KC,"3 out of 5 stars","2 out of 5 stars","187.0","-2"
"27","David Montgomery",DET,"3 out of 5 stars","2 out of 5 stars","173.4","-4"
"28","Jordan Mason",MIN,"3 out of 5 stars","4 out of 5 stars","171.7","+4"
"29","Javonte Williams",DAL,"2 out of 5 stars","2 out of 5 stars","156.4","+8"
"30","Zach Charbonnet",SEA,"3 out of 5 stars","3 out of 5 stars","171.7","+5"
"31","Tyrone Tracy Jr.",NYG,"3 out of 5 stars","3 out of 5 stars","170.0","-4"
"32","Jacory Croskey-Merritt",WAS,"2 out of 5 stars","3 out of 5 stars","156.4","-1"
"33","J.K. Dobbins",DEN,"2 out of 5 stars","2 out of 5 stars","146.2","0"
"34","Jaylen Warren",PIT,"4 out of 5 stars","4 out of 5 stars","149.6","-5"
"35","Kaleb Johnson",PIT,"4 out of 5 stars","4 out of 5 stars","139.4","-7"
"36","Braelon Allen",NYJ,"5 out of 5 stars","5 out of 5 stars","137.7","+8"
"37","Dylan Sampson",CLE,"4 out of 5 stars","4 out of 5 stars","132.6","+15"
"38","Cam Skattebo",NYG,"3 out of 5 stars","3 out of 5 stars","130.9","-4"
"39","Bhayshul Tuten",JAC,"2 out of 5 stars","2 out of 5 stars","129.2","+9"
"40","Trey Benson",ARI,"3 out of 5 stars","3 out of 5 stars","127.5","+9"
"41","Rhamondre Stevenson",NE,"4 out of 5 stars","3 out of 5 stars","125.8","-3"
"42","Jerome Ford",CLE,"4 out of 5 stars","4 out of 5 stars","122.4","+8"
"43","Nick Chubb",HOU,"2 out of 5 stars","2 out of 5 stars","113.9","-1"
"44","Brian Robinson Jr.",SF,"3 out of 5 stars","3 out of 5 stars","110.5","-1"
"45","Najee Harris",LAC,"3 out of 5 stars","2 out of 5 stars","113.9","0"
"46","Tank Bigsby",PHI,"3 out of 5 stars","4 out of 5 stars","110.5","-5"
"47","Rachaad White",TB,"4 out of 5 stars","4 out of 5 stars","108.8","0"
"48","Ollie Gordon II",MIA,"4 out of 5 stars","4 out of 5 stars","107.1","+3"
"49","Austin Ekeler",WAS,"2 out of 5 stars","3 out of 5 stars","137.7","-13"
"50","Tyler Allgeier",ATL,"4 out of 5 stars","2 out of 5 stars","105.4","+3"
"51","Ray Davis",BUF,"4 out of 5 stars","3 out of 5 stars","105.4","+3"
"52","Tyjae Spears",TEN,"3 out of 5 stars","4 out of 5 stars","102.0","+3"
"53","Jaydon Blue",DAL,"2 out of 5 stars","2 out of 5 stars","98.6","-7"
"54","Joe Mixon",HOU,"2 out of 5 stars","2 out of 5 stars","98.6","-15"
"55","Quinshon Judkins",CLE,"4 out of 5 stars","4 out of 5 stars","96.9","-15"
"56","DJ Giddens",IND,"2 out of 5 stars","3 out of 5 stars","95.2","+14"
"57","Woody Marks",HOU,"2 out of 5 stars","2 out of 5 stars","93.5","+10"
"58","Kyle Monangai",CHI,"4 out of 5 stars","3 out of 5 stars","91.8","+13"
"59","Will Shipley",PHI,"3 out of 5 stars","4 out of 5 stars","85.0","-2"
"60","Blake Corum",LAR,"3 out of 5 stars","2 out of 5 stars","83.3","+3"
"61","Rico Dowdle",CAR,"3 out of 5 stars","3 out of 5 stars","81.6","-3"
"62","Chris Rodriguez Jr.",WAS,"2 out of 5 stars","3 out of 5 stars","78.2","+20"
"63","Kareem Hunt",KC,"3 out of 5 stars","2 out of 5 stars","78.2","-7"
"64","Isaac Guerendo",SF,"3 out of 5 stars","3 out of 5 stars","73.1","-5"
"65","Roschon Johnson",CHI,"4 out of 5 stars","3 out of 5 stars","76.5","-4"
"66","Tahj Brooks",CIN,"3 out of 5 stars","3 out of 5 stars","71.4","-1"
"67","Kendre Miller",NO,"4 out of 5 stars","3 out of 5 stars","62.9","-5"
"68","Brashard Smith",KC,"3 out of 5 stars","2 out of 5 stars","59.5","+6"
"69","Dameon Pierce",HOU,"2 out of 5 stars","2 out of 5 stars","57.8","+14"
"70","Keaton Mitchell",BAL,"3 out of 5 stars","4 out of 5 stars","57.8","-2"
"71","Miles Sanders",DAL,"2 out of 5 stars","2 out of 5 stars","57.8","-2"
"72","Jarquez Hunter",LAR,"3 out of 5 stars","2 out of 5 stars","56.1","+4"
"73","Kenneth Gainwell",PIT,"4 out of 5 stars","4 out of 5 stars","56.1","+16"
"74","Justice Hill",BAL,"3 out of 5 stars","4 out of 5 stars","54.4","-8"
"75","Isaiah Davis",NYJ,"5 out of 5 stars","5 out of 5 stars","51.0","+98"
"76","Trevor Etienne",CAR,"3 out of 5 stars","3 out of 5 stars","47.6","-1"
"77","Sean Tucker",TB,"4 out of 5 stars","4 out of 5 stars","52.7","+8"
"78","Devin Neal",NO,"4 out of 5 stars","3 out of 5 stars","47.6","+16"
"79","Jaylen Wright",MIA,"4 out of 5 stars","4 out of 5 stars","44.2","-15"
"80","Devin Singletary",NYG,"3 out of 5 stars","3 out of 5 stars","45.9","-2"
"81","MarShawn Lloyd",GB,"4 out of 5 stars","3 out of 5 stars","42.5","-2"
"82","Chris Brooks",GB,"4 out of 5 stars","3 out of 5 stars","37.4","+51"
"83","Jaleel McLaughlin",DEN,"2 out of 5 stars","2 out of 5 stars","37.4","-2"
"84","Jeremy McNichols",WAS,"2 out of 5 stars","3 out of 5 stars","22.1","+38"
"85","Raheem Mostert",LV,"2 out of 5 stars","2 out of 5 stars","37.4","-25"
"86","Ty Johnson",BUF,"4 out of 5 stars","3 out of 5 stars","37.4","+1"
"87","Samaje Perine",CIN,"3 out of 5 stars","3 out of 5 stars","30.6","+15"
"88","Elijah Mitchell",KC,"3 out of 5 stars","2 out of 5 stars","28.9","-15"
"89","Emanuel Wilson",GB,"4 out of 5 stars","3 out of 5 stars","27.2","+1"
"90","Antonio Gibson",NE,"4 out of 5 stars","3 out of 5 stars","28.9","-13"
"91","Zamir White",LV,"2 out of 5 stars","2 out of 5 stars","25.5","-5"
"92","Jordan James",SF,"3 out of 5 stars","3 out of 5 stars","22.1","-12"
"93","A.J. Dillon",PHI,"3 out of 5 stars","4 out of 5 stars","23.8","-9"
"94","Julius Chestnut",TEN,"3 out of 5 stars","4 out of 5 stars","23.8","+69"
"95","LeQuint Allen Jr.",JAC,"2 out of 5 stars","2 out of 5 stars","20.4","+127"
"96","Damien Martinez",SEA,"3 out of 5 stars","3 out of 5 stars","20.4","-8"
"97","Kalel Mullings",TEN,"3 out of 5 stars","4 out of 5 stars","20.4","+64"
"98","Tyler Badie",DEN,"2 out of 5 stars","2 out of 5 stars","17.0","+22"
"99","Phil Mafah",DAL,"2 out of 5 stars","2 out of 5 stars","17.0","+61"
"100","Kimani Vidal",LAC,"3 out of 5 stars","2 out of 5 stars","15.3","+76"
"101","Zack Moss",FA,"-","-","13.6","-29"
"102","Troy Hairston II",FA,"-","-","13.6","+137"
"103","Dare Ogunbowale",HOU,"2 out of 5 stars","2 out of 5 stars","11.9","+69"
"104","Hassan Haskins",LAC,"3 out of 5 stars","2 out of 5 stars","10.2","+48"
"105","George Holani",SEA,"3 out of 5 stars","3 out of 5 stars","11.9","+9"
"106","Jamaal Williams",FA,"-","-","10.2","+65"
"107","Craig Reynolds",DET,"3 out of 5 stars","2 out of 5 stars","8.5","-11"
"108","Cam Akers",FA,"-","-","6.8","+1"
"109","Jeff Wilson Jr.",MIA,"4 out of 5 stars","4 out of 5 stars","6.8","+74"
"110","Khalil Herbert",FA,"-","-","6.8","-13"
"111","Tyler Goodson",IND,"2 out of 5 stars","3 out of 5 stars","6.8","+53"
"112","Tony Jones Jr.",FA,"-","-","3.4","-"
"113","Trey Sermon",PIT,"4 out of 5 stars","4 out of 5 stars","1.7","+52"
"114","Gus Edwards",FA,"-","-","0.0","+13"
"115","Emari Demercado",ARI,"3 out of 5 stars","3 out of 5 stars","0.0","+54"
"116","Audric Estime",PHI,"3 out of 5 stars","4 out of 5 stars","0.0","-23"
"117","Sione Vaki",DET,"3 out of 5 stars","2 out of 5 stars","0.0","+7"
"118","Ty Chandler",MIN,"3 out of 5 stars","4 out of 5 stars","0.0","-23"
"119","Carson Steele",KC,"3 out of 5 stars","2 out of 5 stars","0.0","+10"
"120","Sincere McCormick",SF,"3 out of 5 stars","3 out of 5 stars","0.0","+46"
"121","Nyheim Hines",FA,"-","-","0.0","-"
"122","Ronnie Rivers",LAR,"3 out of 5 stars","2 out of 5 stars","0.0","+74"
"123","Raheim Sanders",CLE,"4 out of 5 stars","4 out of 5 stars","8.5","-5"
"124","Chris Tyree",NO,"4 out of 5 stars","3 out of 5 stars","0.0","-"
"125","Clyde Edwards-Helaire",KC,"3 out of 5 stars","2 out of 5 stars","0.0","+37"
"126","D'Ernest Johnson",BAL,"3 out of 5 stars","4 out of 5 stars","0.0","+105"
"127","Donovan Edwards",WAS,"2 out of 5 stars","3 out of 5 stars","0.0","-21"
"128","Marcus Yarns",FA,"-","-","0.0","+126"
