"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Brock Bowers",LV,"2 out of 5 stars","3 out of 5 stars","253.3","0"
"2","Trey McBride",ARI,"5 out of 5 stars","4 out of 5 stars","244.8","0"
"3","George Kittle",SF,"3 out of 5 stars","3 out of 5 stars","231.2","0"
"4","Tyler Warren",IND,"4 out of 5 stars","4 out of 5 stars","190.4","+6"
"5","Travis Kelce",KC,"3 out of 5 stars","2 out of 5 stars","188.7","0"
"6","Sam LaPorta",DET,"3 out of 5 stars","3 out of 5 stars","183.6","-2"
"7","T.J. Hockenson",MIN,"3 out of 5 stars","3 out of 5 stars","180.2","-1"
"8","David Njoku",CLE,"3 out of 5 stars","3 out of 5 stars","176.8","+1"
"9","Tucker Kraft",GB,"2 out of 5 stars","2 out of 5 stars","163.2","+2"
"10","Mark Andrews",BAL,"2 out of 5 stars","3 out of 5 stars","159.8","-3"
"11","Evan Engram",DEN,"3 out of 5 stars","4 out of 5 stars","156.4","-3"
"12","Jake Ferguson",DAL,"2 out of 5 stars","2 out of 5 stars","154.7","+2"
"13","Dalton Kincaid",BUF,"3 out of 5 stars","2 out of 5 stars","153.0","0"
"14","Kyle Pitts Sr.",ATL,"3 out of 5 stars","2 out of 5 stars","153.0","+1"
"15","Dallas Goedert",PHI,"3 out of 5 stars","3 out of 5 stars","147.9","+1"
"16","Colston Loveland",CHI,"4 out of 5 stars","4 out of 5 stars","142.8","-4"
"17","Hunter Henry",NE,"3 out of 5 stars","3 out of 5 stars","139.4","+2"
"18","Brenton Strange",JAC,"3 out of 5 stars","3 out of 5 stars","137.7","+3"
"19","Zach Ertz",WAS,"3 out of 5 stars","3 out of 5 stars","136.0","-1"
"20","Harold Fannin Jr.",CLE,"3 out of 5 stars","3 out of 5 stars","134.3","+10"
"21","Jonnu Smith",PIT,"3 out of 5 stars","2 out of 5 stars","134.3","-4"
"22","Juwan Johnson",NO,"3 out of 5 stars","3 out of 5 stars","132.6","+15"
"23","Isaiah Likely",BAL,"2 out of 5 stars","3 out of 5 stars","129.2","-3"
"24","Chig Okonkwo",TEN,"3 out of 5 stars","4 out of 5 stars","129.2","+2"
"25","Dalton Schultz",HOU,"3 out of 5 stars","2 out of 5 stars","125.8","+3"
"26","Mason Taylor",NYJ,"3 out of 5 stars","4 out of 5 stars","124.1","+1"
"27","Pat Freiermuth",PIT,"3 out of 5 stars","2 out of 5 stars","120.7","-4"
"28","Ja'Tavion Sanders",CAR,"4 out of 5 stars","4 out of 5 stars","120.7","+5"
"29","Mike Gesicki",CIN,"2 out of 5 stars","2 out of 5 stars","119.0","-4"
"30","Theo Johnson",NYG,"2 out of 5 stars","3 out of 5 stars","119.0","+8"
"31","Elijah Arroyo",SEA,"4 out of 5 stars","3 out of 5 stars","117.3","-2"
"32","Cade Otton",TB,"3 out of 5 stars","3 out of 5 stars","112.2","-8"
"33","Cole Kmet",CHI,"4 out of 5 stars","4 out of 5 stars","103.7","-2"
"34","Darren Waller",MIA,"3 out of 5 stars","3 out of 5 stars","100.3","-12"
"35","Tyler Higbee",LAR,"4 out of 5 stars","4 out of 5 stars","96.9","+5"
"36","Tyler Conklin",LAC,"3 out of 5 stars","3 out of 5 stars","95.2","-1"
"37","Terrance Ferguson",LAR,"4 out of 5 stars","4 out of 5 stars","83.3","-3"
"38","Noah Gray",KC,"3 out of 5 stars","2 out of 5 stars","76.5","-6"
"39","AJ Barner",SEA,"4 out of 5 stars","3 out of 5 stars","74.8","+16"
"40","Noah Fant",CIN,"2 out of 5 stars","2 out of 5 stars","73.1","+1"
"41","Michael Mayer",LV,"2 out of 5 stars","3 out of 5 stars","69.7","+5"
"42","Ben Sinnott",WAS,"3 out of 5 stars","3 out of 5 stars","66.3","+6"
"43","Oronde Gadsden II",LAC,"3 out of 5 stars","3 out of 5 stars","66.3","+9"
"44","Austin Hooper",NE,"3 out of 5 stars","3 out of 5 stars","59.5","+1"
"45","Dawson Knox",BUF,"3 out of 5 stars","2 out of 5 stars","59.5","-6"
"46","Gunnar Helm",TEN,"3 out of 5 stars","4 out of 5 stars","57.8","+13"
"47","Cade Stover",HOU,"3 out of 5 stars","2 out of 5 stars","57.8","+15"
"48","Taysom Hill",NO,"3 out of 5 stars","3 out of 5 stars","54.4","-12"
"49","Luke Musgrave",GB,"2 out of 5 stars","2 out of 5 stars","51.0","-7"
"50","Darnell Washington",PIT,"3 out of 5 stars","2 out of 5 stars","51.0","-7"
"51","Will Dissly",LAC,"3 out of 5 stars","3 out of 5 stars","42.5","-4"
"52","Colby Parkinson",LAR,"4 out of 5 stars","4 out of 5 stars","40.8","+25"
"53","Grant Calcaterra",PHI,"3 out of 5 stars","3 out of 5 stars","39.1","-9"
"54","Luke Schoonmaker",DAL,"2 out of 5 stars","2 out of 5 stars","37.4","-1"
"55","Jeremy Ruckert",NYJ,"3 out of 5 stars","4 out of 5 stars","37.4","+44"
"56","Josh Oliver",MIN,"3 out of 5 stars","3 out of 5 stars","35.7","-6"
"57","Foster Moreau",NO,"3 out of 5 stars","3 out of 5 stars","35.7","+31"
"58","Tommy Tremble",CAR,"4 out of 5 stars","4 out of 5 stars","34.0","+26"
"59","Hunter Long",JAC,"3 out of 5 stars","3 out of 5 stars","34.0","+63"
"60","Elijah Higgins",ARI,"5 out of 5 stars","4 out of 5 stars","34.0","-11"
"61","Mitchell Evans",CAR,"4 out of 5 stars","4 out of 5 stars","32.3","-1"
"62","Jared Wiley",KC,"3 out of 5 stars","2 out of 5 stars","32.3","+42"
"63","Drew Sample",CIN,"2 out of 5 stars","2 out of 5 stars","32.3","+17"
"64","Adam Trautman",DEN,"3 out of 5 stars","4 out of 5 stars","30.6","-7"
"65","Brock Wright",DET,"3 out of 5 stars","3 out of 5 stars","27.2","-14"
"66","Robert Tonyan",KC,"3 out of 5 stars","2 out of 5 stars","27.2","+28"
"67","Payne Durham",TB,"3 out of 5 stars","3 out of 5 stars","27.2","+35"
"68","John Bates",WAS,"3 out of 5 stars","3 out of 5 stars","27.2","-4"
"69","Greg Dulcich",MIA,"3 out of 5 stars","3 out of 5 stars","25.5","+58"
"70","Luke Farrell",SF,"3 out of 5 stars","3 out of 5 stars","23.8","+51"
"71","Charlie Kolar",BAL,"2 out of 5 stars","3 out of 5 stars","23.8","+26"
"72","Julian Hill",MIA,"3 out of 5 stars","3 out of 5 stars","22.1","-18"
"73","Tanner Hudson",CIN,"2 out of 5 stars","2 out of 5 stars","20.4","+18"
"74","Jelani Woods",NYJ,"3 out of 5 stars","4 out of 5 stars","20.4","+54"
"75","Johnny Mundt",JAC,"3 out of 5 stars","3 out of 5 stars","20.4","+18"
"76","Harrison Bryant",HOU,"3 out of 5 stars","2 out of 5 stars","18.7","+39"
"77","Stone Smartt",NYJ,"3 out of 5 stars","4 out of 5 stars","18.7","+54"
