"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Ja'Marr Chase",CIN,"2 out of 5 stars","3 out of 5 stars","346.8","0"
"2","CeeDee Lamb",DAL,"2 out of 5 stars","2 out of 5 stars","307.7","0"
"3","Justin Jefferson",MIN,"2 out of 5 stars","3 out of 5 stars","302.6","0"
"4","Nico Collins",HOU,"4 out of 5 stars","3 out of 5 stars","300.9","+3"
"5","Puka Nacua",LAR,"3 out of 5 stars","3 out of 5 stars","292.4","+1"
"6","Malik Nabers",NYG,"2 out of 5 stars","2 out of 5 stars","287.3","-2"
"7","Amon-Ra St. Brown",DET,"3 out of 5 stars","2 out of 5 stars","275.4","-2"
"8","Drake London",ATL,"3 out of 5 stars","3 out of 5 stars","268.6","+2"
"9","Brian Thomas Jr.",JAC,"4 out of 5 stars","3 out of 5 stars","260.1","-1"
"10","Jaxon Smith-Njigba",SEA,"3 out of 5 stars","4 out of 5 stars","255.0","+4"
"11","A.J. Brown",PHI,"3 out of 5 stars","3 out of 5 stars","255.0","-2"
"12","Ladd McConkey",LAC,"3 out of 5 stars","4 out of 5 stars","255.0","-1"
"13","Tee Higgins",CIN,"2 out of 5 stars","3 out of 5 stars","255.0","-1"
"14","Garrett Wilson",NYJ,"4 out of 5 stars","3 out of 5 stars","248.2","+4"
"15","Mike Evans",TB,"3 out of 5 stars","4 out of 5 stars","246.5","+1"
"16","Tetairoa McMillan",CAR,"3 out of 5 stars","1 out of 5 stars","244.8","+9"
"17","Davante Adams",LAR,"3 out of 5 stars","3 out of 5 stars","239.7","0"
"18","Marvin Harrison Jr.",ARI,"4 out of 5 stars","4 out of 5 stars","239.7","+1"
"19","Terry McLaurin",WAS,"3 out of 5 stars","3 out of 5 stars","236.3","-4"
"20","Courtland Sutton",DEN,"3 out of 5 stars","4 out of 5 stars","236.3","+2"
"21","Emeka Egbuka",TB,"3 out of 5 stars","4 out of 5 stars","226.1","+16"
"22","Tyreek Hill",MIA,"3 out of 5 stars","2 out of 5 stars","234.6","-9"
"23","Calvin Ridley",TEN,"4 out of 5 stars","3 out of 5 stars","224.4","+5"
"24","George Pickens",DAL,"2 out of 5 stars","2 out of 5 stars","224.4","+5"
"25","DJ Moore",CHI,"2 out of 5 stars","4 out of 5 stars","224.4","-5"
"26","DeVonta Smith",PHI,"3 out of 5 stars","3 out of 5 stars","221.0","-2"
"27","Jameson Williams",DET,"3 out of 5 stars","2 out of 5 stars","219.3","0"
"28","Ricky Pearsall",SF,"4 out of 5 stars","4 out of 5 stars","209.1","+10"
"29","DK Metcalf",PIT,"4 out of 5 stars","3 out of 5 stars","217.6","-8"
"30","Jaylen Waddle",MIA,"3 out of 5 stars","2 out of 5 stars","209.1","+1"
"31","Zay Flowers",BAL,"3 out of 5 stars","4 out of 5 stars","205.7","-5"
"32","Xavier Worthy",KC,"3 out of 5 stars","3 out of 5 stars","205.7","-9"
"33","Travis Hunter",JAC,"4 out of 5 stars","3 out of 5 stars","198.9","-3"
"34","Jerry Jeudy",CLE,"2 out of 5 stars","3 out of 5 stars","197.2","-1"
"35","Rashee Rice",KC,"3 out of 5 stars","3 out of 5 stars","195.5","-3"
"36","Stefon Diggs",NE,"3 out of 5 stars","3 out of 5 stars","195.5","+3"
"37","Rome Odunze",CHI,"2 out of 5 stars","4 out of 5 stars","195.5","-3"
"38","Deebo Samuel Sr.",WAS,"3 out of 5 stars","3 out of 5 stars","190.4","-2"
"39","Chris Olave",NO,"4 out of 5 stars","3 out of 5 stars","193.8","-4"
"40","Jakobi Meyers",LV,"4 out of 5 stars","3 out of 5 stars","190.4","0"
"41","Keenan Allen",LAC,"3 out of 5 stars","4 out of 5 stars","190.4","+12"
"42","Matthew Golden",GB,"2 out of 5 stars","3 out of 5 stars","190.4","-1"
